hex,type,flight,r,t,alt_baro,gs,track,baro_rate,lat,lon,nic,rc,seen_pos,mlat,tisb,messages,seen,rssi,is_spoofed
845f9f,adsc,KZ51    ,JA11KZ,B748,31996,487.0,244.0,48,57.32872,-177.562752,0,0,873.399,[],[],4420465,803.5,-29.2,False
86d624,adsc,ZG23    ,JA825J,B788,41000,481.0,259.0,-16,56.712799,-176.982708,0,0,276.096,[],[],2683244,213.6,-20.6,False
a835c5,adsc,UP34    ,N628UP,B748,34004,485.0,218.13,16,2.205334,-174.191151,0,0,1163.4,[],[],4955212,1162.1,-8.5,False
4d0104,adsc,CV4316  ,LX-VCD,B748,33996,505.0,67.42,0,57.335758,-173.682518,0,0,836.517,[],[],6918131,793.4,-24.4,False
86e4da,adsc,JL11    ,JA868J,B789,38000,494.0,258.2,0,58.272343,-173.583469,0,0,384.799,[],[],3366781,333.7,-29.6,False
71c083,adsb_icao,KAL074  ,HL8083,B789,38000,487.9,241.07,,61.398605,-172.388142,8,186,30.917,[],[],4267748,19.5,-28.7,False
76cdb9,adsc,SQ31    ,9V-SMY,A359,37000,507.0,259.25,0,31.667919,-172.002811,0,0,5.538,[],[],3753858,4.2,-21.0,False
7c1479,adsc,QF56    ,VH-EBV,A332,36000,477.0,232.29,0,20.039577,-170.449963,0,0,615.477,[],[],2780623,615.5,-21.5,False
86ebb6,adsb_icao,ANA135  ,JA886A,B789,35975,508.3,268.2,,58.778811,-170.167419,8,186,5.589,[],[],2127051,3.1,-29.2,False
abba6c,adsc,FX73    ,N855FD,B77L,34000,474.0,210.95,0,2.224903,-169.668388,0,0,199.17,[],[],4882508,133.5,-6.8,False
7c531d,adsc,QF104   ,VH-QPB,A333,36000,453.0,214.54,-16,5.316525,-169.059849,0,0,16.53,[],[],3356655,13.3,-8.9,False
ab271f,adsb_icao,AAL61   ,N818AL,B788,38000,496.9,250.36,,61.346446,-168.022359,8,186,3.382,[],[],5507422,3.1,-20.0,False
8694fa,adsb_icao,ANA11   ,JA792A,B77W,32000,508.7,250.0,0,60.374621,-167.678244,8,186,27.223,[],[],4186371,27.2,-28.7,False
781318,adsc,HU701   ,B-1048,A333,35004,569.0,80.0,-16,49.411011,-166.867905,0,0,261.905,[],[],87833,193.6,-27.3,False
71ba08,adsb_icao,KAL032  ,HL7208,B789,38000,493.7,250.72,,60.532791,-166.77928,8,186,0.588,[],[],3681268,0.1,-19.0,False
86220c,adsc,JL8783  ,JA621J,B763,35008,475.0,287.0,0,24.004097,-166.360817,0,0,498.704,[],[],1797970,433.7,-31.3,False
a5828e,adsr_icao,N454SF  ,N454SF,C208,ground,26.5,146.25,0,61.521034,-166.143028,0,0,3.081,[],[],369564,3.1,0.0,False
a0618c,adsb_icao,N1232Y  ,N1232Y,C208,ground,1.1,,,61.520994,-166.138738,9,75,1.074,[],[],320446,0.6,-2.9,False
a97007,adsb_icao,N707RA  ,N707RA,C208,4900,137.7,78.69,0,60.515861,-164.904099,9,75,3.382,[],[],1100258,0.6,-14.6,False
a1b1af,adsb_icao,N208W   ,N208W,C208,4025,115.3,93.98,896,60.911362,-164.316448,9,75,3.081,[],[],680186,2.3,-27.9,False
78158e,adsb_icao,CHH7937 ,B-207U,B789,36975,489.1,101.68,,63.869484,-163.22146,8,186,0.605,[],[],313754,0.6,-24.5,False
acbca2,tisb_icao,N92JJ   ,N92JJ,C208,1600,146.2,214.12,,60.094299,-162.87705,0,0,0.024,[],"['callsign', 'altitude', 'alt_geom', 'gs', 'track', 'geom_rate', 'lat', 'lon', 'nic', 'rc', 'nac_p', 'nac_v', 'sil', 'sil_type']",1249207,0.0,0.0,False
ad2a3c,adsr_icao,RYA75M  ,N9475M,C207,,88.1,77.54,128,60.668015,-162.866632,0,0,0.024,[],[],74413,0.0,-6.4,False
a2065f,adsr_icao,YCS3CF  ,N23CF,C207,1500,110.8,186.74,-192,60.265182,-162.752412,0,0,2.096,[],[],650096,2.1,-5.7,False
899104,adsb_icao,CAL5128 ,B-18718,B744,37000,493.8,74.13,0,58.608942,-162.395782,8,186,0.054,[],[],4344218,0.1,-17.6,False
a54605,adsb_icao,RYA39   ,N439RA,C212,4950,155.8,228.12,-64,60.625631,-162.270126,9,75,0.054,[],[],189982,0.1,-3.8,False
7c1472,adsc,QF7776  ,VH-EBO,A332,38000,487.0,235.05,0,26.080341,-162.028084,0,0,1103.267,[],[],2844138,1103.3,-18.7,False
a1ade0,adsr_icao,N207VA  ,N207VA,C207,975,81.1,38.99,-640,60.766571,-161.850965,0,0,0.024,[],[],643003,0.0,0.0,False
acacf8,adsr_icao,REN6AC  ,N916AC,C207,875,107.4,279.11,256,60.792618,-161.847934,0,0,0.963,[],[],481712,1.0,0.0,False
abc1da,adsc,FX90    ,N857FD,B77L,33004,609.0,81.0,-16,50.003071,-159.99527,0,0,27.665,[],[],5113831,26.4,-27.7,False
86dd4c,adsb_icao,JAL67   ,JA845J,B788,39975,502.3,283.23,,58.96463,-159.706696,8,186,0.588,[],[],2813761,0.1,-16.7,False
a4bf41,adsb_icao,AAL684  ,N405AN,A21N,9900,302.8,244.37,-1664,21.924288,-158.829956,8,186,0.303,[],[],10489948,0.1,-23.6,False
888123,adsc,VN98    ,VN-A890,A359,37000,585.0,103.0,48,46.781845,-158.608418,0,0,1048.087,[],[],2334140,983.8,-26.1,False
a4d51d,adsb_icao,LYC410  ,N410LC,C130,25025,270.6,99.36,0,61.744049,-158.511658,8,186,2.24,[],[],1393736,1.2,-19.9,False
a24efd,adsb_icao,N248PA  ,N248PA,C208,11550,124.0,90.46,,21.579383,-158.184916,8,186,0.2,[],[],775680,0.1,-11.5,False
aafd2b,adsb_icao,N807PH  ,N807PH,B407,2100,116.2,272.96,,21.604521,-158.154449,8,186,0.303,[],[],364920,0.1,-11.9,False
71c211,adsb_icao,KAL020  ,HL8211,A332,36000,497.0,284.57,0,58.764313,-158.147662,8,186,0.054,[],[],1862283,0.1,-18.5,False
872f5c,adsb_icao,ANA185  ,JA921A,B789,10425,304.2,267.74,,21.171753,-158.112188,8,186,0.664,[],[],2536964,0.7,-27.8,False
a375c9,adsb_icao,N322AL  ,N322AL,R44,2000,107.4,204.18,,21.619511,-158.040771,8,186,1.576,[],[],570467,1.6,-22.7,False
adc03a,adsb_icao,CAP5151 ,N9851H,C182,2500,96.5,193.17,,21.40123,-158.0226,8,186,36.965,[],[],19208,36.4,-19.3,False
ab0a9d,adsb_icao,DAL397  ,N810NW,A333,7400,257.5,250.02,-960,21.287109,-157.824346,8,186,0.57,[],[],5267226,0.0,-12.2,False
a1ecd6,adsb_icao,HAL249  ,N223HA,A21N,24000,432.3,288.48,0,21.089002,-157.822469,8,186,0.241,[],[],1860379,0.1,-17.9,False
a3ffe9,other,N357MH  ,N357MH,H500,1325,90.0,100.0,,21.255519,-157.814585,0,0,5.758,[],[],497009,5.5,-19.1,False
ac0027,adsb_icao,SWA3413 ,N8720L,B38M,7300,296.1,293.27,-1856,20.984299,-157.756609,8,186,5.3,[],[],4239519,4.1,-27.5,False
a21dc4,adsb_icao,UAL1604 ,N2352U,B77W,8700,272.8,101.85,2304,21.216974,-157.746989,8,186,0.045,[],[],5945334,0.0,-11.4,False
aa069c,other,N745RH  ,N745RH,AS50,1325,95.2,160.99,,21.268799,-157.727617,0,0,15.801,[],[],622031,4.2,-21.1,False
aa0a53,other,N746RH  ,N746RH,AS50,1400,80.0,80.0,,21.250678,-157.711995,0,0,27.923,[],[],605025,27.7,-16.9,False
